Competition,District Name,District IRN,Building Name,Building IRN,Building Adress,School Type,long,lat
,Mentor Exempted Village,045492,Rice Elementary School,031443,"7640 Lake Shore Blvd Mentor, OH   44060-3365",K-5,-81.36653679999999,41.702205
,South-Western City,044800,Richard Avenue Elementary School,031468,"3646 Richard Ave Grove City, OH   43123-2424",K-4,-83.0795478,39.8891719
,Cuyahoga Falls City,043836,Richardson Elementary School,031476,"2226 23rd St Cuyahoga Falls, OH   44223-1410",K-5,-81.51086579999999,41.137281
,Willard City,045096,Richmond Elementary School,031559,"3565 Section Line Road 30 S Willard, OH   44890-9646",K-5,-82.7827889,41.046202
,Richmond Heights Local,046599,Richmond Heights Elementary School,031575,"447 Richmond Rd Richmond Heights, OH   44143-1429",K-6,-81.4931774,41.55511430000001
,Richmond Heights Local,046599,Richmond Heights Secondary School,031583,"447 Richmond Rd Richmond Heights, OH   44143-1429",7-12,-81.4931774,41.55511430000001
,Parma City,044636,Ridge-Brook Elementary School,031617,"7915 Manhattan Ave Parma, OH   44129-1840",K-6,-81.7390009,41.4155216
,Bowling Green City,043638,Ridge Elementary School,031625,"225 Ridge St Bowling Green, OH   43402-2417",K-6,-83.6475195,41.3787689
,Bellevue City,043596,Ridge Elementary School,031633,"126 Ridge Rd Bellevue, OH   44811-1524","SN,K-6",-82.8221104,41.273416
,Mentor Exempted Village,045492,Ridge Middle School,031641,"7860 Johnnycake Ridge Rd Mentor, OH   44060-5530",6-8,-81.358246,41.6546165
,Ridgedale Local,048439,Ridgedale Jr/Sr High School,031666,"3165 Hillman Ford Rd Morral, OH   43337-9302",6-12,-83.17538859999999,40.6483632
,Ridgemont Local,047506,Ridgemont Elementary School,031674,"310 Taylor St W Mount Victory, OH   43340-8803",K-6,-83.5180381,40.5349086
,Buckeye Local,045856,Ridgeview Elementary School,031682,"3456 Liberty St Ashtabula, OH   44004-5969",K-6,-80.764287,41.8719793
,Archbold-Area Local,047043,Archbold Middle School,031690,"306 Stryker St Archbold, OH   43502-3100",5-8,-84.30924770000001,41.5223896
,Ridgemont Local,047506,Ridgemont High School,031716,"PO Box 87 Ridgeway, OH   43345-0087",7-12,-83.572706,40.5139432
,Hilliard City,047019,Ridgewood Elementary School,031724,"4237 Dublin Rd Hilliard, OH   43026-2725",K-5,-83.1061668,40.0437155
,Ridgewood Local,046474,Ridgewood High School,031732,"602 Johnson St West Lafayette, OH   43845-1129",8-12,-81.7584609,40.2696002
,Columbus City,043802,Ridgeview Middle School,031740,"4241 Rudy Rd Columbus, OH   43214-2945",6-8,-83.03899059999999,40.0461549
